"PersonId","TaskType","credits"
"PID0204","Communication workflow",91.2
"PID0204","Document and comment",93.9
"PID0204","Analysis and research",143.1
"PID0204","General assistance",56.3
"PID0204","Specialised workflow",69.2
"PID0205","Write or debug code",4.6
"PID0205","Meeting workflow",14.8
"PID0205","Email workflow",12.3
"PID0205","Communication workflow",13.7
"PID0205","Document and comment",19.9
"PID0205","Analysis and research",8.4
"PID0205","General assistance",7.5
"PID0205","Specialised workflow",2.7
"PID0206","Write or debug code",0
"PID0206","Meeting workflow",0
"PID0206","Email workflow",0
"PID0206","Communication workflow",0
"PID0206","Document and comment",0
"PID0206","Analysis and research",0
"PID0206","General assistance",0
"PID0206","Specialised workflow",0
"PID0207","Write or debug code",538.8
"PID0207","Meeting workflow",88
"PID0207","Email workflow",85
"PID0207","Communication workflow",87
"PID0207","Document and comment",125
"PID0207","Analysis and research",106.6
"PID0207","General assistance",80.4
"PID0207","Specialised workflow",74.2
"PID0208","Write or debug code",0.5
"PID0208","Meeting workflow",1.5
"PID0208","Email workflow",3.9
"PID0208","Communication workflow",4.1
"PID0208","Document and comment",1.2
"PID0208","Analysis and research",1.5
"PID0208","General assistance",2.2
"PID0208","Specialised workflow",0.7
"PID0209","Write or debug code",0
"PID0209","Meeting workflow",0
"PID0209","Email workflow",0
"PID0209","Communication workflow",0
"PID0209","Document and comment",0
"PID0209","Analysis and research",0
"PID0209","General assistance",0
"PID0209","Specialised workflow",0
"PID0210","Write or debug code",26.3
"PID0210","Meeting workflow",195.3
"PID0210","Email workflow",224.5
"PID0210","Communication workflow",112
"PID0210","Document and comment",79.5
"PID0210","Analysis and research",129.3
"PID0210","General assistance",52.9
"PID0210","Specialised workflow",26.7
"PID0211","Write or debug code",0
"PID0211","Meeting workflow",0
"PID0211","Email workflow",0
"PID0211","Communication workflow",0
"PID0211","Document and comment",0
"PID0211","Analysis and research",0
"PID0211","General assistance",0
"PID0211","Specialised workflow",0
"PID0212","Write or debug code",88.5
"PID0212","Meeting workflow",498.2
"PID0212","Email workflow",259.9
"PID0212","Communication workflow",189
"PID0212","Document and comment",149.4
"PID0212","Analysis and research",131.8
"PID0212","General assistance",112.1
"PID0212","Specialised workflow",41.8
"PID0213","Write or debug code",12.6
"PID0213","Meeting workflow",27.7
"PID0213","Email workflow",32
"PID0213","Communication workflow",21.3
"PID0213","Document and comment",28.4
"PID0213","Analysis and research",16.5
"PID0213","General assistance",15.2
"PID0213","Specialised workflow",8.1
"PID0214","Write or debug code",2.8
"PID0214","Meeting workflow",9.5
"PID0214","Email workflow",11.4
"PID0214","Communication workflow",5.7
"PID0214","Document and comment",7.6
"PID0214","Analysis and research",7
"PID0214","General assistance",3.5
"PID0214","Specialised workflow",2.1
"PID0215","Write or debug code",227.5
"PID0215","Meeting workflow",55
"PID0215","Email workflow",54.7
"PID0215","Communication workflow",37.8
"PID0215","Document and comment",51.3
"PID0215","Analysis and research",56.8
"PID0215","General assistance",31.3
"PID0215","Specialised workflow",29.9
"PID0216","Write or debug code",69.6
"PID0216","Meeting workflow",230.6
"PID0216","Email workflow",294.3
"PID0216","Communication workflow",242.7
"PID0216","Document and comment",471.3
"PID0216","Analysis and research",220
"PID0216","General assistance",72.3
"PID0216","Specialised workflow",48.8
"PID0217","Write or debug code",33.1
"PID0217","Meeting workflow",140.8
"PID0217","Email workflow",202.1
"PID0217","Communication workflow",82
"PID0217","Document and comment",347.7
"PID0217","Analysis and research",149
"PID0217","General assistance",29.7
"PID0217","Specialised workflow",28.5
"PID0218","Write or debug code",6.8
"PID0218","Meeting workflow",22.3
"PID0218","Email workflow",26.3
"PID0218","Communication workflow",35.3
"PID0218","Document and comment",39.7
"PID0218","Analysis and research",27.3
"PID0218","General assistance",7.1
"PID0218","Specialised workflow",5.8
"PID0219","Write or debug code",8
"PID0219","Meeting workflow",21.8
"PID0219","Email workflow",21.2
"PID0219","Communication workflow",38.6
"PID0219","Document and comment",69.9
"PID0219","Analysis and research",24.6
"PID0219","General assistance",10.8
"PID0219","Specialised workflow",6.6
"PID0220","Write or debug code",15.7
"PID0220","Meeting workflow",36.5
"PID0220","Email workflow",74.9
"PID0220","Communication workflow",59.9
"PID0220","Document and comment",83.8
"PID0220","Analysis and research",47.7
"PID0220","General assistance",15
"PID0220","Specialised workflow",10.2
"PID0221","Write or debug code",43.4
"PID0221","Meeting workflow",354.1
"PID0221","Email workflow",305.1
"PID0221","Communication workflow",165.8
"PID0221","Document and comment",148.4
"PID0221","Analysis and research",135.5
"PID0221","General assistance",83.3
"PID0221","Specialised workflow",43
"PID0222","Write or debug code",0
"PID0222","Meeting workflow",0
"PID0222","Email workflow",0
"PID0222","Communication workflow",0
"PID0222","Document and comment",0
"PID0222","Analysis and research",0
"PID0222","General assistance",0
"PID0222","Specialised workflow",0
"PID0223","Write or debug code",1.5
"PID0223","Meeting workflow",5.7
"PID0223","Email workflow",9.3
"PID0223","Communication workflow",7.7
"PID0223","Document and comment",4.4
"PID0223","Analysis and research",3.5
"PID0223","General assistance",6.4
"PID0223","Specialised workflow",2.6
"PID0224","Write or debug code",6.9
"PID0224","Meeting workflow",29.4
"PID0224","Email workflow",44.3
"PID0224","Communication workflow",57.6
"PID0224","Document and comment",54.1
"PID0224","Analysis and research",31.9
"PID0224","General assistance",13.8
"PID0224","Specialised workflow",8.3
"PID0225","Write or debug code",87.3
"PID0225","Meeting workflow",20.9
"PID0225","Email workflow",26.3
"PID0225","Communication workflow",19.9
"PID0225","Document and comment",21.3
"PID0225","Analysis and research",17.2
"PID0225","General assistance",16.5
"PID0225","Specialised workflow",17.1
"PID0226","Write or debug code",179.8
"PID0226","Meeting workflow",44
"PID0226","Email workflow",49.1
"PID0226","Communication workflow",36.1
"PID0226","Document and comment",55.8
"PID0226","Analysis and research",38.6
"PID0226","General assistance",27.1
"PID0226","Specialised workflow",26.7
"PID0227","Write or debug code",9.6
"PID0227","Meeting workflow",38.8
"PID0227","Email workflow",37.9
"PID0227","Communication workflow",22.5
"PID0227","Document and comment",25.1
"PID0227","Analysis and research",24.2
"PID0227","General assistance",16.1
"PID0227","Specialised workflow",8.1
"PID0228","Write or debug code",57.7
"PID0228","Meeting workflow",11.5
"PID0228","Email workflow",12.3
"PID0228","Communication workflow",9.5
"PID0228","Document and comment",11.8
"PID0228","Analysis and research",18.6
"PID0228","General assistance",6.5
"PID0228","Specialised workflow",6.8
"PID0229","Write or debug code",9.6
"PID0229","Meeting workflow",25.7
"PID0229","Email workflow",50.1
"PID0229","Communication workflow",15.5
"PID0229","Document and comment",94.5
"PID0229","Analysis and research",34.3
"PID0229","General assistance",16
"PID0229","Specialised workflow",19.1
"PID0230","Write or debug code",12.9
"PID0230","Meeting workflow",77.2
"PID0230","Email workflow",67.2
"PID0230","Communication workflow",42.7
"PID0230","Document and comment",58.2
"PID0230","Analysis and research",36.1
"PID0230","General assistance",44.2
"PID0230","Specialised workflow",9.7
"PID0231","Write or debug code",6.9
"PID0231","Meeting workflow",12.9
"PID0231","Email workflow",31.8
"PID0231","Communication workflow",29.6
"PID0231","Document and comment",11.2
"PID0231","Analysis and research",12.9
"PID0231","General assistance",18.4
"PID0231","Specialised workflow",6.9
"PID0232","Write or debug code",1.5
"PID0232","Meeting workflow",5.8
"PID0232","Email workflow",6
"PID0232","Communication workflow",5.2
"PID0232","Document and comment",5.2
"PID0232","Analysis and research",4.9
"PID0232","General assistance",2.7
"PID0232","Specialised workflow",1.6
"PID0233","Write or debug code",18.6
"PID0233","Meeting workflow",84
"PID0233","Email workflow",84
"PID0233","Communication workflow",63.5
"PID0233","Document and comment",124.3
"PID0233","Analysis and research",61.8
"PID0233","General assistance",24.3
"PID0233","Specialised workflow",15.2
"PID0234","Write or debug code",3.8
"PID0234","Meeting workflow",21.1
"PID0234","Email workflow",23.9
"PID0234","Communication workflow",9
"PID0234","Document and comment",10
"PID0234","Analysis and research",7.6
"PID0234","General assistance",6
"PID0234","Specialised workflow",3.2
"PID0235","Write or debug code",0
"PID0235","Meeting workflow",0
"PID0235","Email workflow",0
"PID0235","Communication workflow",0
"PID0235","Document and comment",0
"PID0235","Analysis and research",0
"PID0235","General assistance",0
"PID0235","Specialised workflow",0
"PID0236","Write or debug code",4.6
"PID0236","Meeting workflow",14
"PID0236","Email workflow",23
"PID0236","Communication workflow",10.1
"PID0236","Document and comment",34.1
"PID0236","Analysis and research",18.3
"PID0236","General assistance",5.9
"PID0236","Specialised workflow",8.3
"PID0237","Write or debug code",1033.7
"PID0237","Meeting workflow",179.6
"PID0237","Email workflow",238.6
"PID0237","Communication workflow",138
"PID0237","Document and comment",170.1
"PID0237","Analysis and research",221.4
"PID0237","General assistance",88.2
"PID0237","Specialised workflow",111.6
"PID0238","Write or debug code",2.8
"PID0238","Meeting workflow",10.1
"PID0238","Email workflow",22.6
"PID0238","Communication workflow",22.6
"PID0238","Document and comment",9.9
"PID0238","Analysis and research",11.4
"PID0238","General assistance",14.3
"PID0238","Specialised workflow",5
"PID0239","Write or debug code",2.4
"PID0239","Meeting workflow",7.6
"PID0239","Email workflow",11.4
"PID0239","Communication workflow",10.4
"PID0239","Document and comment",16.4
"PID0239","Analysis and research",5.9
"PID0239","General assistance",2.9
"PID0239","Specialised workflow",1.6
"PID0240","Write or debug code",1120.4
"PID0240","Meeting workflow",407.8
"PID0240","Email workflow",299.8
"PID0240","Communication workflow",258.4
"PID0240","Document and comment",269.6
"PID0240","Analysis and research",253.2
"PID0240","General assistance",138.2
"PID0240","Specialised workflow",217.6
"PID0241","Write or debug code",8.1
"PID0241","Meeting workflow",65.2
"PID0241","Email workflow",67
"PID0241","Communication workflow",49.2
"PID0241","Document and comment",44.9
"PID0241","Analysis and research",27.8
"PID0241","General assistance",23.1
"PID0241","Specialised workflow",11.1
"PID0242","Write or debug code",780.5
"PID0242","Meeting workflow",110.8
"PID0242","Email workflow",133.6
"PID0242","Communication workflow",130.7
"PID0242","Document and comment",174.3
"PID0242","Analysis and research",208.4
"PID0242","General assistance",87.6
"PID0242","Specialised workflow",95.7
"PID0243","Write or debug code",27
"PID0243","Meeting workflow",66.6
"PID0243","Email workflow",71.3
"PID0243","Communication workflow",35.8
"PID0243","Document and comment",108.8
"PID0243","Analysis and research",190.8
"PID0243","General assistance",46.4
"PID0243","Specialised workflow",39.8
"PID0244","Write or debug code",1.5
"PID0244","Meeting workflow",4.5
"PID0244","Email workflow",10
"PID0244","Communication workflow",9.1
"PID0244","Document and comment",7.2
"PID0244","Analysis and research",5.2
"PID0244","General assistance",7.5
"PID0244","Specialised workflow",1.9
"PID0245","Write or debug code",18.1
"PID0245","Meeting workflow",56.3
"PID0245","Email workflow",62.9
"PID0245","Communication workflow",57.6
"PID0245","Document and comment",52.1
"PID0245","Analysis and research",35.3
"PID0245","General assistance",34.3
"PID0245","Specialised workflow",18
"PID0246","Write or debug code",25
"PID0246","Meeting workflow",58.3
"PID0246","Email workflow",121.4
"PID0246","Communication workflow",130.7
"PID0246","Document and comment",54.3
"PID0246","Analysis and research",69.8
"PID0246","General assistance",73
"PID0246","Specialised workflow",29
"PID0247","Write or debug code",561.9
"PID0247","Meeting workflow",103.8
"PID0247","Email workflow",224.9
"PID0247","Communication workflow",124.7
"PID0247","Document and comment",105.9
"PID0247","Analysis and research",154
"PID0247","General assistance",62.5
"PID0247","Specialised workflow",94.9
"PID0248","Write or debug code",9.5
"PID0248","Meeting workflow",24
"PID0248","Email workflow",53.1
"PID0248","Communication workflow",52.9
"PID0248","Document and comment",76.6
"PID0248","Analysis and research",35.2
"PID0248","General assistance",16.8
"PID0248","Specialised workflow",9.6
"PID0249","Write or debug code",178.3
"PID0249","Meeting workflow",462.3
"PID0249","Email workflow",502.6
"PID0249","Communication workflow",361.3
"PID0249","Document and comment",304.2
"PID0249","Analysis and research",305.8
"PID0249","General assistance",250
"PID0249","Specialised workflow",86.7
"PID0250","Write or debug code",18
"PID0250","Meeting workflow",30.5
"PID0250","Email workflow",40.5
"PID0250","Communication workflow",23
"PID0250","Document and comment",43
"PID0250","Analysis and research",22.9
"PID0250","General assistance",18.5
"PID0250","Specialised workflow",8
"PID0251","Write or debug code",39.1
"PID0251","Meeting workflow",113.5
"PID0251","Email workflow",110.3
"PID0251","Communication workflow",58.5
"PID0251","Document and comment",89.3
"PID0251","Analysis and research",111
"PID0251","General assistance",62.4
"PID0251","Specialised workflow",25.3
"PID0252","Write or debug code",1.6
"PID0252","Meeting workflow",4.7
"PID0252","Email workflow",6.1
"PID0252","Communication workflow",7.3
"PID0252","Document and comment",4.2
"PID0252","Analysis and research",3
"PID0252","General assistance",5.5
"PID0252","Specialised workflow",1.9
"PID0253","Write or debug code",7.7
"PID0253","Meeting workflow",32.3
"PID0253","Email workflow",61.8
"PID0253","Communication workflow",58.8
"PID0253","Document and comment",24.3
"PID0253","Analysis and research",25.6
"PID0253","General assistance",40.8
"PID0253","Specialised workflow",15.1
"PID0254","Write or debug code",0.5
"PID0254","Meeting workflow",2.1
"PID0254","Email workflow",2.4
"PID0254","Communication workflow",3.8
"PID0254","Document and comment",1.3
"PID0254","Analysis and research",1.5
"PID0254","General assistance",1.2
"PID0254","Specialised workflow",0.8
"PID0255","Write or debug code",6.7
"PID0255","Meeting workflow",18.3
"PID0255","Email workflow",28.6
"PID0255","Communication workflow",15.6
"PID0255","Document and comment",35.2
"PID0255","Analysis and research",43.8
"PID0255","General assistance",11.7
"PID0255","Specialised workflow",7.9
"PID0256","Write or debug code",3.6
"PID0256","Meeting workflow",10.5
"PID0256","Email workflow",11.8
"PID0256","Communication workflow",7.5
"PID0256","Document and comment",15.7
"PID0256","Analysis and research",18.4
"PID0256","General assistance",5.6
"PID0256","Specialised workflow",4.3
"PID0257","Write or debug code",14.1
"PID0257","Meeting workflow",126.3
"PID0257","Email workflow",91.4
"PID0257","Communication workflow",69.1
"PID0257","Document and comment",55.2
"PID0257","Analysis and research",34
"PID0257","General assistance",34.5
"PID0257","Specialised workflow",15.3
"PID0258","Write or debug code",48.1
"PID0258","Meeting workflow",97.3
"PID0258","Email workflow",170
"PID0258","Communication workflow",95.2
"PID0258","Document and comment",237.6
"PID0258","Analysis and research",270.3
"PID0258","General assistance",97.6
"PID0258","Specialised workflow",49.2
"PID0259","Write or debug code",22.7
"PID0259","Meeting workflow",60.8
"PID0259","Email workflow",60.8
"PID0259","Communication workflow",51.4
"PID0259","Document and comment",51.5
"PID0259","Analysis and research",46.8
"PID0259","General assistance",29.1
"PID0259","Specialised workflow",11.1
"PID0260","Write or debug code",3.9
"PID0260","Meeting workflow",16.8
"PID0260","Email workflow",12.2
"PID0260","Communication workflow",9.7
"PID0260","Document and comment",8.1
"PID0260","Analysis and research",9.2
"PID0260","General assistance",5.7
"PID0260","Specialised workflow",2.5
"PID0261","Write or debug code",25.7
"PID0261","Meeting workflow",116.4
"PID0261","Email workflow",102.4
"PID0261","Communication workflow",55.8
"PID0261","Document and comment",137.2
"PID0261","Analysis and research",227.5
"PID0261","General assistance",48.3
"PID0261","Specialised workflow",37.1
"PID0262","Write or debug code",18.3
"PID0262","Meeting workflow",70.2
"PID0262","Email workflow",155.9
"PID0262","Communication workflow",115
"PID0262","Document and comment",43.7
"PID0262","Analysis and research",41
"PID0262","General assistance",27.9
"PID0262","Specialised workflow",12.7
"PID0263","Write or debug code",5.4
"PID0263","Meeting workflow",45.6
"PID0263","Email workflow",53.3
"PID0263","Communication workflow",36.1
"PID0263","Document and comment",41.1
"PID0263","Analysis and research",27.2
"PID0263","General assistance",17.8
"PID0263","Specialised workflow",6.6
"PID0264","Write or debug code",36.1
"PID0264","Meeting workflow",79.5
"PID0264","Email workflow",150
"PID0264","Communication workflow",54.8
"PID0264","Document and comment",177.1
"PID0264","Analysis and research",300.4
"PID0264","General assistance",55.7
"PID0264","Specialised workflow",49.6
"PID0265","Write or debug code",543.5
"PID0265","Meeting workflow",104.4
"PID0265","Email workflow",120.8
"PID0265","Communication workflow",81
"PID0265","Document and comment",126.3
"PID0265","Analysis and research",141.6
"PID0265","General assistance",79.3
"PID0265","Specialised workflow",79
"PID0266","Write or debug code",0
"PID0266","Meeting workflow",0
"PID0266","Email workflow",0
"PID0266","Communication workflow",0
"PID0266","Document and comment",0
"PID0266","Analysis and research",0
"PID0266","General assistance",0
"PID0266","Specialised workflow",0
"PID0267","Write or debug code",19
"PID0267","Meeting workflow",62.7
"PID0267","Email workflow",55
"PID0267","Communication workflow",59.2
"PID0267","Document and comment",40.1
"PID0267","Analysis and research",46.6
"PID0267","General assistance",26.1
"PID0267","Specialised workflow",11.2
"PID0268","Write or debug code",5.2
"PID0268","Meeting workflow",64.4
"PID0268","Email workflow",39
"PID0268","Communication workflow",32
"PID0268","Document and comment",29.8
"PID0268","Analysis and research",20.9
"PID0268","General assistance",17.4
"PID0268","Specialised workflow",7.2
"PID0269","Write or debug code",2.5
"PID0269","Meeting workflow",7.8
"PID0269","Email workflow",7.1
"PID0269","Communication workflow",14.9
"PID0269","Document and comment",20.1
"PID0269","Analysis and research",11.5
"PID0269","General assistance",4.3
"PID0269","Specialised workflow",2.1
"PID0270","Write or debug code",56.1
"PID0270","Meeting workflow",11.9
"PID0270","Email workflow",10.4
"PID0270","Communication workflow",10.9
"PID0270","Document and comment",13.2
"PID0270","Analysis and research",16.5
"PID0270","General assistance",12.3
"PID0270","Specialised workflow",9.5
"PID0271","Write or debug code",6.2
"PID0271","Meeting workflow",11.1
"PID0271","Email workflow",13.8
"PID0271","Communication workflow",9.5
"PID0271","Document and comment",9.4
"PID0271","Analysis and research",7.7
"PID0271","General assistance",6.7
"PID0271","Specialised workflow",3
"PID0272","Write or debug code",24.2
"PID0272","Meeting workflow",101
"PID0272","Email workflow",86.2
"PID0272","Communication workflow",54.8
"PID0272","Document and comment",135.5
"PID0272","Analysis and research",184.1
"PID0272","General assistance",43.7
"PID0272","Specialised workflow",37.5
"PID0273","Write or debug code",0
"PID0273","Meeting workflow",0
"PID0273","Email workflow",0
"PID0273","Communication workflow",0
"PID0273","Document and comment",0
"PID0273","Analysis and research",0
"PID0273","General assistance",0
"PID0273","Specialised workflow",0
"PID0274","Write or debug code",26.3
"PID0274","Meeting workflow",108.7
"PID0274","Email workflow",207.1
"PID0274","Communication workflow",83.3
"PID0274","Document and comment",91.6
"PID0274","Analysis and research",51
"PID0274","General assistance",70.4
"PID0274","Specialised workflow",22.9
"PID0275","Write or debug code",8.6
"PID0275","Meeting workflow",34.9
"PID0275","Email workflow",26.7
"PID0275","Communication workflow",17.8
"PID0275","Document and comment",18.1
"PID0275","Analysis and research",16.7
"PID0275","General assistance",15
"PID0275","Specialised workflow",6.3
"PID0276","Write or debug code",249.3
"PID0276","Meeting workflow",82.5
"PID0276","Email workflow",57.1
"PID0276","Communication workflow",35.1
"PID0276","Document and comment",46.6
"PID0276","Analysis and research",61.9
"PID0276","General assistance",37.5
"PID0276","Specialised workflow",43.7
"PID0277","Write or debug code",731.9
"PID0277","Meeting workflow",196.7
"PID0277","Email workflow",125.9
"PID0277","Communication workflow",117.2
"PID0277","Document and comment",127.8
"PID0277","Analysis and research",185.3
"PID0277","General assistance",81.4
"PID0277","Specialised workflow",95.6
"PID0278","Write or debug code",1.9
"PID0278","Meeting workflow",11.1
"PID0278","Email workflow",20.3
"PID0278","Communication workflow",8.9
"PID0278","Document and comment",5.4
"PID0278","Analysis and research",4.9
"PID0278","General assistance",2.7
"PID0278","Specialised workflow",1.6
"PID0279","Write or debug code",8.1
"PID0279","Meeting workflow",29.4
"PID0279","Email workflow",64.6
"PID0279","Communication workflow",79.3
"PID0279","Document and comment",45.8
"PID0279","Analysis and research",22.2
"PID0279","General assistance",47.1
"PID0279","Specialised workflow",21.6
"PID0280","Write or debug code",177.1
"PID0280","Meeting workflow",46
"PID0280","Email workflow",48.3
"PID0280","Communication workflow",32.3
"PID0280","Document and comment",53.3
"PID0280","Analysis and research",56
"PID0280","General assistance",22.4
"PID0280","Specialised workflow",30.7
"PID0281","Write or debug code",22.9
"PID0281","Meeting workflow",186.9
"PID0281","Email workflow",110.4
"PID0281","Communication workflow",120.5
"PID0281","Document and comment",97.9
"PID0281","Analysis and research",74.7
"PID0281","General assistance",70.5
"PID0281","Specialised workflow",25.4
"PID0282","Write or debug code",9
"PID0282","Meeting workflow",24.8
"PID0282","Email workflow",43.5
"PID0282","Communication workflow",48.9
"PID0282","Document and comment",16.1
"PID0282","Analysis and research",14.9
"PID0282","General assistance",31
"PID0282","Specialised workflow",9.4
"PID0283","Write or debug code",0
"PID0283","Meeting workflow",0.4
"PID0283","Email workflow",0.3
"PID0283","Communication workflow",0.2
"PID0283","Document and comment",0.2
"PID0283","Analysis and research",0.1
"PID0283","General assistance",0.1
"PID0283","Specialised workflow",0.1
"PID0284","Write or debug code",8.1
"PID0284","Meeting workflow",44.4
"PID0284","Email workflow",52.1
"PID0284","Communication workflow",42.4
"PID0284","Document and comment",30.1
"PID0284","Analysis and research",22.7
"PID0284","General assistance",12.3
"PID0284","Specialised workflow",7.2
"PID0285","Write or debug code",147.2
"PID0285","Meeting workflow",781.6
"PID0285","Email workflow",947.2
"PID0285","Communication workflow",953.2
"PID0285","Document and comment",659.1
"PID0285","Analysis and research",482.2
"PID0285","General assistance",314.7
"PID0285","Specialised workflow",163
"PID0286","Write or debug code",0.2
"PID0286","Meeting workflow",0.5
"PID0286","Email workflow",1
"PID0286","Communication workflow",1.3
"PID0286","Document and comment",0.6
"PID0286","Analysis and research",0.5
"PID0286","General assistance",1
"PID0286","Specialised workflow",0.3
"PID0287","Write or debug code",31.2
"PID0287","Meeting workflow",90
"PID0287","Email workflow",119
"PID0287","Communication workflow",66.2
"PID0287","Document and comment",75.5
"PID0287","Analysis and research",60.8
"PID0287","General assistance",46.9
"PID0287","Specialised workflow",17.9
"PID0288","Write or debug code",12.7
"PID0288","Meeting workflow",40.4
"PID0288","Email workflow",56.4
"PID0288","Communication workflow",22.7
"PID0288","Document and comment",86.5
"PID0288","Analysis and research",48.9
"PID0288","General assistance",16.2
"PID0288","Specialised workflow",13
"PID0289","Write or debug code",166.8
"PID0289","Meeting workflow",44.3
"PID0289","Email workflow",38.8
"PID0289","Communication workflow",32.2
"PID0289","Document and comment",34.3
"PID0289","Analysis and research",45
"PID0289","General assistance",17.9
"PID0289","Specialised workflow",28.6
"PID0290","Write or debug code",15.9
"PID0290","Meeting workflow",38.4
"PID0290","Email workflow",98.7
"PID0290","Communication workflow",119.5
"PID0290","Document and comment",41.2
"PID0290","Analysis and research",39.6
"PID0290","General assistance",61.3
"PID0290","Specialised workflow",16.5
"PID0291","Write or debug code",21.6
"PID0291","Meeting workflow",159.4
"PID0291","Email workflow",125.7
"PID0291","Communication workflow",91
"PID0291","Document and comment",80.3
"PID0291","Analysis and research",59.5
"PID0291","General assistance",47
"PID0291","Specialised workflow",25.2
"PID0292","Write or debug code",1070.6
"PID0292","Meeting workflow",247.5
"PID0292","Email workflow",319.3
"PID0292","Communication workflow",262.2
"PID0292","Document and comment",216.6
"PID0292","Analysis and research",288.5
"PID0292","General assistance",117.2
"PID0292","Specialised workflow",215.7
"PID0293","Write or debug code",1.6
"PID0293","Meeting workflow",4.3
"PID0293","Email workflow",8.2
"PID0293","Communication workflow",8.4
"PID0293","Document and comment",4.7
"PID0293","Analysis and research",4.9
"PID0293","General assistance",5.8
"PID0293","Specialised workflow",3.1
"PID0294","Write or debug code",37.5
"PID0294","Meeting workflow",75.2
"PID0294","Email workflow",88.7
"PID0294","Communication workflow",50.1
"PID0294","Document and comment",75.6
"PID0294","Analysis and research",72.2
"PID0294","General assistance",48.8
"PID0294","Specialised workflow",15.6
"PID0295","Write or debug code",1.9
"PID0295","Meeting workflow",6
"PID0295","Email workflow",12.7
"PID0295","Communication workflow",5.5
"PID0295","Document and comment",3.7
"PID0295","Analysis and research",3.3
"PID0295","General assistance",2.9
"PID0295","Specialised workflow",1.5
"PID0296","Write or debug code",0
"PID0296","Meeting workflow",0
"PID0296","Email workflow",0
"PID0296","Communication workflow",0
"PID0296","Document and comment",0
"PID0296","Analysis and research",0
"PID0296","General assistance",0
"PID0296","Specialised workflow",0
"PID0297","Write or debug code",127.4
"PID0297","Meeting workflow",1056.4
"PID0297","Email workflow",1179.3
"PID0297","Communication workflow",685.9
"PID0297","Document and comment",695.1
"PID0297","Analysis and research",449.5
"PID0297","General assistance",405.2
"PID0297","Specialised workflow",117.3
"PID0298","Write or debug code",4
"PID0298","Meeting workflow",8.5
"PID0298","Email workflow",10
"PID0298","Communication workflow",5.7
"PID0298","Document and comment",7.9
"PID0298","Analysis and research",6.7
"PID0298","General assistance",5.8
"PID0298","Specialised workflow",1.9
"PID0299","Write or debug code",5
"PID0299","Meeting workflow",29.1
"PID0299","Email workflow",36.7
"PID0299","Communication workflow",35.5
"PID0299","Document and comment",21.7
"PID0299","Analysis and research",15.4
"PID0299","General assistance",12.9
"PID0299","Specialised workflow",4.7
"PID0300","Write or debug code",23.3
"PID0300","Meeting workflow",69.5
"PID0300","Email workflow",80.8
"PID0300","Communication workflow",34
"PID0300","Document and comment",127.8
"PID0300","Analysis and research",160.2
"PID0300","General assistance",27.1
"PID0300","Specialised workflow",26.5
"PID0301","Write or debug code",1.3
"PID0301","Meeting workflow",2.8
"PID0301","Email workflow",3.6
"PID0301","Communication workflow",3.7
"PID0301","Document and comment",5.4
"PID0301","Analysis and research",2.8
"PID0301","General assistance",1.6
"PID0301","Specialised workflow",0.6
"PID0302","Write or debug code",1.6
"PID0302","Meeting workflow",5.7
"PID0302","Email workflow",6
"PID0302","Communication workflow",3.8
"PID0302","Document and comment",3.8
"PID0302","Analysis and research",4.3
"PID0302","General assistance",2.6
"PID0302","Specialised workflow",1.1
"PID0303","Write or debug code",0
"PID0303","Meeting workflow",0
"PID0303","Email workflow",0
"PID0303","Communication workflow",0
"PID0303","Document and comment",0
"PID0303","Analysis and research",0
"PID0303","General assistance",0
"PID0303","Specialised workflow",0
"PID0304","Write or debug code",45.6
"PID0304","Meeting workflow",161.7
"PID0304","Email workflow",186.1
"PID0304","Communication workflow",92.1
"PID0304","Document and comment",211.4
"PID0304","Analysis and research",353.2
"PID0304","General assistance",91.5
"PID0304","Specialised workflow",68.6
"PID0305","Write or debug code",10.4
"PID0305","Meeting workflow",58.7
"PID0305","Email workflow",148.1
"PID0305","Communication workflow",51.9
"PID0305","Document and comment",34.7
"PID0305","Analysis and research",30.7
"PID0305","General assistance",29.3
"PID0305","Specialised workflow",13.6
"PID0306","Write or debug code",73.5
"PID0306","Meeting workflow",172.1
"PID0306","Email workflow",386.5
"PID0306","Communication workflow",386.9
"PID0306","Document and comment",170.5
"PID0306","Analysis and research",160.1
"PID0306","General assistance",274.1
"PID0306","Specialised workflow",128.1
"PID0307","Write or debug code",0
"PID0307","Meeting workflow",0.1
"PID0307","Email workflow",0.2
"PID0307","Communication workflow",0.2
"PID0307","Document and comment",0.1
"PID0307","Analysis and research",0.1
"PID0307","General assistance",0.1
"PID0307","Specialised workflow",0
"PID0308","Write or debug code",101.1
"PID0308","Meeting workflow",31.5
"PID0308","Email workflow",38.7
"PID0308","Communication workflow",29
"PID0308","Document and comment",17.7
"PID0308","Analysis and research",36.7
"PID0308","General assistance",14.4
"PID0308","Specialised workflow",19.9
"PID0309","Write or debug code",32.6
"PID0309","Meeting workflow",96
"PID0309","Email workflow",86.8
"PID0309","Communication workflow",76.4
"PID0309","Document and comment",81.9
"PID0309","Analysis and research",79.5
"PID0309","General assistance",49.1
"PID0309","Specialised workflow",15.2
"PID0310","Write or debug code",0
"PID0310","Meeting workflow",0
"PID0310","Email workflow",0
"PID0310","Communication workflow",0
"PID0310","Document and comment",0
"PID0310","Analysis and research",0
"PID0310","General assistance",0
"PID0310","Specialised workflow",0
"PID0311","Write or debug code",15.1
