"PersonId","MetricDate","Meeting_hours","Scheduled_call_hours","Collaboration_hours","Available_to_focus_hours","Uninterrupted_hours","Interrupted_hours","Open_1_hour_block","Recurring_meeting_hours","Conflicting_meeting_hours","Meeting_hours_with_six_or_fewer_hours_of_advanced_notice","After_hours_collaboration_hours"
"SYN00321",2026-06-21,0.749,1.243,4.578,38.009,16.176,21.833,20,0.311,0.115,0.114,0.668
"SYN00321",2026-06-28,1.208,1.191,5.401,37.601,20.353,17.248,20,0.758,0.066,0.121,0.657
"SYN00322",2026-01-04,8.73,1.98,16.003,29.289,12.023,17.266,19,5.174,1.522,3.006,14.718
"SYN00322",2026-01-11,8.986,1.146,14.574,29.868,9.658,20.209,17,4.685,1.584,1.85,13.633
"SYN00322",2026-01-18,8.829,1.242,15.291,29.93,10.362,19.568,18,4.207,2.387,2.654,12.595
"SYN00322",2026-01-25,11.419,1.399,19.399,27.181,8.534,18.647,15,4.986,1.821,3.829,12.32
"SYN00322",2026-02-01,8.362,0.844,14.557,30.794,12.576,18.218,14,3.182,2.411,2.445,13.941
"SYN00322",2026-02-08,9.763,1.834,15.874,28.403,12.698,15.704,17,6.521,2.721,2.588,13.226
"SYN00322",2026-02-15,11.061,1.302,18.383,27.636,9.862,17.775,15,5.321,2.424,3.57,12.1
"SYN00322",2026-02-22,10.2,1.579,18.654,28.221,9.083,19.138,19,6.876,2.241,2.825,13.074
"SYN00322",2026-03-01,10.187,1.255,16.556,28.558,10.648,17.91,14,5.552,2.225,2.536,12.756
"SYN00322",2026-03-08,7.799,2.053,16.828,30.148,14.191,15.956,18,5.347,1.394,2.542,13.016
"SYN00322",2026-03-15,9.7,1.278,17.511,29.022,12.275,16.747,14,5.709,1.865,2.711,12.847
"SYN00322",2026-03-22,10.537,1.03,17.525,28.433,9.399,19.034,13,4.123,1.707,2.887,12.653
"SYN00322",2026-03-29,8.768,1.91,15.401,29.322,11.127,18.195,20,3.642,1.984,2.111,12.666
"SYN00322",2026-04-05,9.917,1.282,15.922,28.801,10.966,17.835,17,4.429,1.796,2.338,13.213
"SYN00322",2026-04-12,9.485,1.041,15.39,29.475,11.587,17.888,17,4.201,1.536,1.99,12.042
"SYN00322",2026-04-19,10.441,1.534,17.351,28.025,9.001,19.024,13,7.825,1.688,3.255,13.527
"SYN00322",2026-04-26,9.805,1.113,15.125,29.081,13.454,15.627,15,7.43,2.834,2.166,11.646
"SYN00322",2026-05-03,9.812,2.08,15.801,28.108,10.35,17.758,15,6.048,1.512,1.867,12.821
"SYN00322",2026-05-10,11.288,0.834,16.705,27.878,9.925,17.953,15,6.999,1.884,3.062,14.553
"SYN00322",2026-05-17,8.008,1.236,17.223,30.756,8.773,21.983,17,6.062,1.46,1.576,13.593
"SYN00322",2026-05-24,7.649,1.63,13.64,30.721,13.96,16.761,24,4.047,1.229,2.318,12.602
"SYN00322",2026-05-31,8.018,1.341,16.217,30.641,9.366,21.275,16,4.173,1.37,2.477,11.576
"SYN00322",2026-06-07,7.312,1.109,13.885,31.579,10.811,20.768,17,2.827,1.461,2.316,12.671
"SYN00322",2026-06-14,8.682,1.272,14.249,30.046,11.002,19.044,18,4.12,1.73,3.023,12.31
"SYN00322",2026-06-21,7.175,1.26,13.043,31.565,13.765,17.8,22,3.021,1.364,1.552,13.122
"SYN00322",2026-06-28,9.039,1.227,16.184,29.734,10.005,19.729,17,6.068,1.948,2.816,13.262
"SYN00323",2026-01-04,6.135,1.507,10.14,32.358,14.916,17.442,18,4.347,0.353,0.162,0.265
"SYN00323",2026-01-11,8.113,1.092,11.335,30.795,13.219,17.575,18,4.846,0.296,1.447,0
"SYN00323",2026-01-18,7.995,1.395,13.322,30.61,19.757,10.853,20,3.312,0.661,0.601,1.091
"SYN00323",2026-01-25,10.606,1.311,15.423,28.084,16.775,11.308,16,5.634,1.094,0.561,0.37
"SYN00323",2026-02-01,9.56,1.683,13.702,28.758,13.252,15.506,17,5.816,0.277,1.107,0.818
"SYN00323",2026-02-08,8.2,0.466,12.654,31.334,12.398,18.937,16,3.144,1.015,0.509,0
"SYN00323",2026-02-15,8.356,0.829,12.965,30.816,17.313,13.503,17,2.887,0.306,1.01,0.446
"SYN00323",2026-02-22,7.023,0.771,11.333,32.206,18.885,13.321,14,3.553,0.556,1.497,0
"SYN00323",2026-03-01,12.435,1.842,18.168,25.723,15.12,10.603,15,8.408,1.162,1.658,1.089
"SYN00323",2026-03-08,9.144,0.808,12.578,30.048,14.933,15.114,17,5.993,0.492,1.199,0.08
"SYN00323",2026-03-15,8.75,1.224,13.76,30.027,15.833,14.194,20,4.489,0.077,0.845,0.763
"SYN00323",2026-03-22,11.884,1.43,17.099,26.686,12.737,13.95,15,4.275,0.149,2.29,1.609
"SYN00323",2026-03-29,7.637,1.096,11.79,31.267,18.693,12.574,16,5.014,0.807,1.612,0.986
"SYN00323",2026-04-05,8.072,1.03,11.452,30.898,18.853,12.045,14,4.56,0.037,0.858,0
"SYN00323",2026-04-12,7.124,0.623,10.938,32.253,17.11,15.143,17,4.303,0.873,0.606,1.605
"SYN00323",2026-04-19,10.257,0.668,14.714,29.075,15.197,13.878,13,3.58,1.109,1.615,0.254
"SYN00323",2026-04-26,8.37,1.637,13.12,29.993,15.927,14.067,17,4.045,0.302,1.017,0.311
"SYN00323",2026-05-03,8.412,0.812,12.365,30.777,15.465,15.311,16,5.989,0.93,1.007,0
"SYN00323",2026-05-10,6.913,1.779,12.053,31.308,17.277,14.031,17,3.274,0.898,1.298,0.351
"SYN00323",2026-05-17,9.993,0.645,14.168,29.363,18.432,10.931,15,3.355,1.467,0.799,1.248
"SYN00323",2026-05-24,8.491,1.571,13.593,29.939,17.065,12.873,17,3.094,0.568,1.504,1.176
"SYN00323",2026-05-31,6.896,1.645,12.394,31.459,18.342,13.117,17,3.273,0.678,0.535,0.76
"SYN00323",2026-06-07,11.412,1.79,17.031,26.798,12.356,14.442,18,6.708,0.575,2.018,0.76
"SYN00323",2026-06-14,7.707,1.146,12.571,31.146,18.267,12.88,20,2.875,0.711,0.485,0.24
"SYN00323",2026-06-21,7.694,1.101,11.554,31.204,17.756,13.449,20,5.494,0.494,0.278,0.001
"SYN00323",2026-06-28,8.745,1.809,14.016,29.446,13.674,15.772,18,4.047,0.074,0.217,0.561
"SYN00324",2026-01-04,12.892,1.957,22.03,25.15,6.608,18.542,14,6.26,2.521,4.356,4.219
"SYN00324",2026-01-11,13.492,1.307,19.419,25.201,3.455,21.747,15,5.795,3.468,3.052,3.042
"SYN00324",2026-01-18,14.614,1.938,23.016,23.448,2.313,21.135,16,10.979,1.911,3.163,3.39
"SYN00324",2026-01-25,14.168,2.053,22.099,23.778,2.8,20.978,15,9.784,1.817,3.86,3.435
"SYN00324",2026-02-01,15.411,1.81,21.73,22.778,2.818,19.961,14,8.351,3.124,4.449,3.655
"SYN00324",2026-02-08,12.084,1.475,19.373,26.441,2.431,24.01,15,5.137,2.174,2.66,2.486
"SYN00324",2026-02-15,13.279,1.669,21.104,25.052,2.831,22.221,13,5.469,1.878,4.211,2.543
"SYN00324",2026-02-22,10.781,1.65,19.033,27.569,4.798,22.771,13,4.734,2.178,2.698,4.229
"SYN00324",2026-03-01,14.05,1.82,22.448,24.13,5.056,19.074,14,8.024,2.757,2.646,2.803
"SYN00324",2026-03-08,14.165,1.459,19.827,24.377,1.486,22.89,12,6.909,3.567,4.63,3.552
"SYN00324",2026-03-15,14.231,0.979,19.902,24.79,0.891,23.899,12,9.521,4.124,2.73,2.351
"SYN00324",2026-03-22,15.583,1.591,21.233,22.826,3.038,19.788,15,9.602,2.501,3.691,2.236
"SYN00324",2026-03-29,11.591,2.117,19.102,26.292,6.501,19.79,16,4.737,2.733,2.721,4.099
"SYN00324",2026-04-05,11.652,1.365,18.757,26.983,2.064,24.919,13,5.551,1.707,2.213,3.78
"SYN00324",2026-04-12,12.179,1.33,18.427,26.492,6.012,20.479,14,5.59,2.637,2.117,3.619
"SYN00324",2026-04-19,12.235,1.493,19.037,26.272,7.255,19.017,16,8.473,2.176,2.525,2.933
"SYN00324",2026-04-26,11.24,1.473,19.264,27.288,7.087,20.201,13,4.743,1.363,3.552,2.358
"SYN00324",2026-05-03,12.561,1.357,19.166,26.082,5.353,20.728,19,7.114,1.925,2.547,3.92
"SYN00324",2026-05-10,12.836,1.774,20.349,25.39,6.03,19.36,18,5.95,2.458,2.811,4.06
"SYN00324",2026-05-17,12.291,0.9,18.053,26.809,6.469,20.34,14,7.668,2.361,2.975,3.227
"SYN00324",2026-05-24,11.578,1.043,17.766,27.379,2.975,24.404,14,6.249,3.214,1.955,3.836
"SYN00324",2026-05-31,8.961,1.594,15.33,29.444,5.276,24.168,16,4.412,2.489,1.602,2.485
"SYN00324",2026-06-07,13.207,1.17,20.703,25.624,4.373,21.251,13,5.447,1.67,2.274,3.049
"SYN00324",2026-06-14,14.558,0.751,20.635,24.691,2.157,22.535,15,7.011,3.601,3.065,3.047
"SYN00324",2026-06-21,10.182,2.098,16.161,27.72,6.506,21.215,18,7.503,1.775,1.774,3.379
"SYN00324",2026-06-28,11.894,1.682,19.954,26.424,5.71,20.714,13,7.453,3.02,3.993,2.959
"SYN00325",2026-01-04,6.612,1.125,11.146,32.263,12.889,19.374,15,3.707,0.314,0.959,2.585
"SYN00325",2026-01-11,6.531,0.977,10.694,32.492,12.935,19.558,19,3.026,0.53,1.416,2.224
"SYN00325",2026-01-18,8.78,0.643,12.914,30.577,10.072,20.504,18,4.491,0.42,1.371,2.631
"SYN00325",2026-01-25,8.357,0.985,12.973,30.659,11.286,19.372,18,2.76,1.162,1.397,3.602
"SYN00325",2026-02-01,11.385,1.257,17.236,27.359,8.951,18.408,17,4.92,1.263,2.199,3.429
"SYN00325",2026-02-08,8.473,1.125,12.402,30.402,9.104,21.298,15,3.676,1.022,0.585,1.642
"SYN00325",2026-02-15,8.097,0.878,11.896,31.025,13.246,17.779,16,4.432,0.51,1.749,2.94
"SYN00325",2026-02-22,6.019,1.464,12.187,32.517,11.912,20.605,21,2.077,0.418,0.586,2.827
"SYN00325",2026-03-01,8.535,1.248,13.168,30.217,10.529,19.688,13,4.37,0.649,0.896,3.592
"SYN00325",2026-03-08,9.659,1.357,13.941,28.984,11.851,17.133,19,3.994,0.99,1.331,3.125
"SYN00325",2026-03-15,8.374,1.062,12.239,30.564,8.909,21.654,21,5.653,0.14,0.866,3.014
"SYN00325",2026-03-22,6.282,1.521,11.338,32.197,13.738,18.46,18,2.387,0.035,0.329,2.381
"SYN00325",2026-03-29,11.65,1.682,17.385,26.668,8.637,18.031,15,6.971,0.579,2.436,2.777
"SYN00325",2026-04-05,7.486,1.374,13.485,31.139,12.356,18.783,20,3.173,1.15,1.352,2.915
"SYN00325",2026-04-12,7.965,1.29,13.982,30.745,12.323,18.422,23,4.807,0.109,1.604,2.045
"SYN00325",2026-04-19,7.411,0.963,11.452,31.626,11.73,19.896,15,3.304,0.626,1.433,1.589
"SYN00325",2026-04-26,7.528,1.797,12.003,30.675,14.752,15.923,19,4.817,1.049,0.864,3.02
"SYN00325",2026-05-03,6.687,0.798,10.382,32.515,11.57,20.945,20,4.868,0.611,0.647,3.428
"SYN00325",2026-05-10,8.815,1.55,12.668,29.635,13.338,16.298,19,6.174,0.264,1.565,1.666
"SYN00325",2026-05-17,5.998,0.843,10.625,33.159,12.238,20.92,16,2.33,0.185,0.488,2.291
"SYN00325",2026-05-24,7.346,0.739,11.892,31.914,11.692,20.223,19,3.314,0.695,1.33,2.739
"SYN00325",2026-05-31,6.224,1.011,10.761,32.766,12.681,20.085,17,2.315,0.883,0.712,2.669
"SYN00325",2026-06-07,7.705,1.673,14.411,30.622,11.706,18.917,19,4.296,1.217,1.44,2.57
"SYN00325",2026-06-14,4.972,0.714,10.588,34.314,12.128,22.186,17,2.107,0.212,0.432,2.023
"SYN00325",2026-06-21,6.431,0.936,11.745,32.633,13.003,19.63,18,3.931,0.576,0.572,1.729
"SYN00325",2026-06-28,6.682,0.605,11.912,32.713,13.25,19.463,20,4.466,0.376,0.837,2.431
"SYN00326",2026-01-04,2.41,0.39,4.814,37.201,16.471,20.729,22,1.568,0.02,0.118,1.485
"SYN00326",2026-01-11,3.737,1.218,6.445,35.045,19.003,16.042,17,2.303,0.067,0.058,1.396
"SYN00326",2026-01-18,2.367,0.435,6.363,37.198,19.552,17.646,20,1.44,0.371,0.281,0.297
"SYN00326",2026-01-25,2.685,0.25,4.714,37.065,19.367,17.698,19,1.164,0.157,0.273,0.174
"SYN00326",2026-02-01,2.098,0.992,5.519,36.91,18.426,18.484,21,0.866,0.061,0.351,0.122
"SYN00326",2026-02-08,4.428,1.589,8.135,33.983,18.839,15.144,23,2.759,0.626,0.198,0
"SYN00326",2026-02-15,0.5,0.542,3.336,38.958,17.929,21.028,20,0.153,0.048,0.073,1.244
"SYN00326",2026-02-22,4.459,0.784,7.177,34.757,16.715,18.042,17,1.888,0.041,0.856,0.286
"SYN00326",2026-03-01,4.334,1.559,9.534,34.107,19.378,14.728,17,2.778,0.097,0.45,0.895
"SYN00326",2026-03-08,3.438,1.317,7.37,35.245,18.68,16.565,21,2.057,0.289,0.43,0.36
"SYN00326",2026-03-15,3.524,0.949,6.487,35.527,19.562,15.964,21,2.393,0,0.72,0.388
"SYN00326",2026-03-22,1.996,1.419,6.353,36.585,20.036,16.549,20,1.281,0.304,0.239,0.501
"SYN00326",2026-03-29,3.05,0.25,8.174,36.7,19.414,17.287,16,1.033,0.227,0.086,1.763
"SYN00326",2026-04-05,3.172,0.705,7.258,36.123,19.145,16.978,25,1.882,0.32,0.2,0.665
"SYN00326",2026-04-12,4.032,1.25,7.735,34.718,15.384,19.334,22,1.869,0.006,0.28,0
"SYN00326",2026-04-19,1.802,0.919,4.694,37.279,20.842,16.437,20,0.709,0.082,0.14,0.2
"SYN00326",2026-04-26,0.96,1.225,5.159,37.815,17.646,20.168,22,0.314,0.091,0.16,0.324
"SYN00326",2026-05-03,2.691,1.28,5.94,36.03,14.771,21.258,19,1,0.035,0.143,0.723
"SYN00326",2026-05-10,0.5,1.569,3.949,37.931,18.265,19.667,23,0.155,0,0.085,1.092
"SYN00326",2026-05-17,3.31,0.442,5.967,36.248,17.428,18.819,22,2.216,0.388,0.201,0.448
"SYN00326",2026-05-24,4.074,0.875,7.974,35.051,17.787,17.264,21,2.386,0.481,0.072,1.81
"SYN00326",2026-05-31,5.692,1.417,8.993,32.892,17.903,14.989,18,2.915,0.241,0.769,0.367
"SYN00326",2026-06-07,4.043,1.441,8.191,34.516,17.94,16.576,22,1.37,0.116,0.203,0.545
"SYN00326",2026-06-14,4.072,1.598,7.92,34.33,18.749,15.581,21,2.193,0.11,0.467,0.842
"SYN00326",2026-06-21,3.181,1.375,7.917,35.444,20.635,14.809,18,1.716,0,0.145,0.893
"SYN00326",2026-06-28,2.672,0.25,5.891,37.078,20.889,16.189,21,1.659,0.176,0.427,0.542
"SYN00327",2026-01-04,7.397,1.654,11.605,30.949,10.58,20.369,19,4.469,0.88,1.52,0.572
"SYN00327",2026-01-11,5.257,1.713,10.299,33.03,12.92,20.109,23,3.441,0.284,0.706,1.103
"SYN00327",2026-01-18,7.381,1.518,14.042,31.102,9.05,22.052,16,4.35,0.745,0.692,0.603
"SYN00327",2026-01-25,9.654,1.544,16.395,28.802,8.007,20.795,15,5.879,1.69,2.124,1.421
"SYN00327",2026-02-01,8.387,1.56,14.033,30.053,8.881,21.172,12,3.219,0.432,1.01,1.87
"SYN00327",2026-02-08,10.412,1.704,16.369,27.884,9.43,18.453,19,7.388,0.74,1.051,0.572
"SYN00327",2026-02-15,8.35,1.844,15.232,29.806,10.28,19.526,18,4.166,1.28,1.337,1.446
"SYN00327",2026-02-22,8.388,0.921,12.861,30.691,10.088,20.603,17,4.424,1.198,0.715,0.758
"SYN00327",2026-03-01,7.049,1.675,11.659,31.277,8.895,22.382,19,3.36,0.673,1.077,1.662
"SYN00327",2026-03-08,7.54,1.358,12.182,31.102,8.944,22.158,17,3.019,0.924,1.311,0.652
"SYN00327",2026-03-15,8.525,1.499,13.027,29.976,8.353,21.623,18,6.351,0.255,0.607,1.774
"SYN00327",2026-03-22,4.116,1.889,9.94,33.995,11.671,22.324,23,2.027,0.31,0.858,0.97
"SYN00327",2026-03-29,7.168,1.099,11.796,31.733,10.935,20.797,18,3.138,1.219,0.605,2.364
"SYN00327",2026-04-05,9.144,1.855,13.71,29.001,11.715,17.286,18,4.41,0.949,0.403,3.33
"SYN00327",2026-04-12,6.773,1.515,11.408,31.712,11.611,20.101,15,5.101,0.508,1.374,2.033
"SYN00327",2026-04-19,7.891,1.293,12.711,30.816,13.526,17.29,18,5.258,0.084,0.292,1.835
"SYN00327",2026-04-26,6.641,1.242,11.346,32.116,12.987,19.13,20,4.904,0.212,0.361,0.49
"SYN00327",2026-05-03,7.75,1.38,15.304,30.869,10.272,20.598,18,3.596,1.202,1.579,0.852
"SYN00327",2026-05-10,5.048,0.664,9.609,34.287,13.446,20.841,18,3.542,0.23,0.539,2.201
"SYN00327",2026-05-17,6.632,1.588,12.913,31.779,11.067,20.713,18,2.905,0.12,1.261,0.746
"SYN00327",2026-05-24,6.928,0.653,11.813,32.419,13.617,18.802,17,3.77,0.593,1.238,0.91
"SYN00327",2026-05-31,6.19,1.051,11.752,32.759,10.658,22.101,21,2.896,0.487,1.063,0.767
"SYN00327",2026-06-07,5.648,1.217,9.92,33.134,10.132,23.002,19,3.836,0.953,0.209,1.496
"SYN00327",2026-06-14,7.263,1.735,11.498,31.002,9.218,21.784,18,3.603,0.628,1.35,1.221
"SYN00327",2026-06-21,5.217,1.811,10.538,32.973,13.33,19.643,15,2.233,0.26,0.797,1.06
"SYN00327",2026-06-28,4.348,1.741,11.04,33.911,11.943,21.969,24,3.046,0.482,0.321,1.365
"SYN00328",2026-01-04,0.898,1.47,3.421,37.632,17.022,20.61,17,0.279,0.041,0.143,1.432
"SYN00328",2026-01-11,2.478,0.261,4.419,37.26,16.651,20.609,19,1.355,0.291,0.168,2.615
"SYN00328",2026-01-18,2.099,0.765,5.486,37.137,21.017,16.12,20,0.855,0.076,0.384,1.376
"SYN00328",2026-01-25,2.747,0.529,6.414,36.724,19.835,16.889,22,1.054,0.021,0.327,1.256
"SYN00328",2026-02-01,5.445,0.272,11.492,34.283,15.578,18.705,18,3.7,0,1.059,2.059
"SYN00328",2026-02-08,2.903,0.467,5.889,36.63,15.023,21.607,17,0.956,0.068,0.172,2.817
"SYN00328",2026-02-15,3.732,0.919,7.396,35.35,18.375,16.975,25,2.185,0.121,0.114,2.107
"SYN00328",2026-02-22,3.577,1.18,6.465,35.244,14.276,20.968,20,1.437,0.226,0.474,1.735
"SYN00328",2026-03-01,5.938,1.032,10.192,33.03,14.48,18.55,20,3.794,0.408,0.29,1.405
"SYN00328",2026-03-08,3.592,0.403,6.203,36.005,16.124,19.881,21,1.877,0.509,0.721,3.064
"SYN00328",2026-03-15,2.112,1.493,8.002,36.395,15.456,20.939,20,1.083,0.018,0.386,3.347
"SYN00328",2026-03-22,1.93,1.562,5.077,36.507,16.953,19.554,21,1.144,0,0.356,0.963
"SYN00328",2026-03-29,4.604,1.097,8.424,34.298,15.975,18.324,18,1.421,0.122,0.227,1.78
"SYN00328",2026-04-05,3.324,0.391,6.23,36.285,16.387,19.899,24,2.131,0.482,0.315,2.131
"SYN00328",2026-04-12,2.887,0.555,4.657,36.557,16.936,19.621,18,1.002,0.317,0.225,2.346
"SYN00328",2026-04-19,2.701,1.52,7.406,35.779,16.744,19.036,24,1.364,0.288,0.551,1.784
"SYN00328",2026-04-26,0.5,1.073,3.62,38.427,17.358,21.069,22,0.226,0.034,0.059,3.073
"SYN00328",2026-05-03,4.618,0.399,7.621,34.983,16.721,18.262,19,2.174,0.182,0.182,3.341
"SYN00328",2026-05-10,1.112,0.364,2.721,38.524,20.755,17.769,22,0.554,0.002,0.022,1.532
"SYN00328",2026-05-17,3.822,0.25,8.627,35.928,14.831,21.097,17,1.188,0.457,0.644,3.706
"SYN00328",2026-05-24,4.392,0.485,6.668,35.123,17.139,17.983,18,3.03,0.23,0.595,1.928
"SYN00328",2026-05-31,4.013,0.25,7.204,35.737,16.731,19.006,20,1.271,0.625,0.499,1.82
"SYN00328",2026-06-07,2.613,0.56,5.234,36.827,15.635,21.192,24,1.161,0.244,0.361,2.901
"SYN00328",2026-06-14,3.775,1.178,7.15,35.047,17.429,17.618,21,1.412,0.003,0.593,1.685
"SYN00328",2026-06-21,3.07,1.289,8.864,35.641,17.86,17.78,19,1.351,0,0.577,1.88
"SYN00328",2026-06-28,0.742,0.935,4.256,38.323,17.479,20.844,21,0.5,0.078,0.104,1.728
"SYN00329",2026-01-04,13.179,1.152,18.38,25.668,9.498,16.17,11,6.016,0.874,1.375,1.207
"SYN00329",2026-01-11,8.66,0.761,13.399,30.579,8.571,22.008,17,6.169,1.082,0.487,0.642
"SYN00329",2026-01-18,12.985,1.835,18.084,25.181,4.766,20.414,17,5.044,1.42,2.17,1.816
"SYN00329",2026-01-25,13.906,1.243,19.468,24.851,7.264,17.587,12,7.527,1.222,0.974,1.157
"SYN00329",2026-02-01,13.988,1.531,18.861,24.481,6.934,17.547,15,5.232,2.281,2.627,0
"SYN00329",2026-02-08,13.087,1.685,17.875,25.228,11.393,13.835,15,5.304,0.496,0.412,0.41
"SYN00329",2026-02-15,14.007,0.576,17.335,25.417,5.197,20.22,15,9.634,2.129,2.702,1.121
"SYN00329",2026-02-22,13.017,0.531,16.791,26.452,9.656,16.795,11,7.7,0.769,0.841,1.061
"SYN00329",2026-03-01,11.027,1.651,16.265,27.322,11.339,15.983,14,6.397,0.751,2.415,1.483
"SYN00329",2026-03-08,11.924,0.572,17.328,27.504,7.37,20.134,15,5.822,0.353,0.679,0.682
"SYN00329",2026-03-15,12.205,0.626,16.557,27.168,9.31,17.858,18,7.087,1.04,1.15,1.021
"SYN00329",2026-03-22,13.053,1.781,18.155,25.166,9.834,15.332,12,6.314,1.711,1.942,1.115
"SYN00329",2026-03-29,14.141,1.244,20.204,24.615,9.09,15.525,14,5.165,0.125,2.282,2.214
"SYN00329",2026-04-05,14.394,0.986,21.382,24.62,7.316,17.304,16,8.614,1.34,1.87,0
"SYN00329",2026-04-12,11.716,0.805,16.356,27.479,12.574,14.905,13,7.443,1.167,1.768,1.429
"SYN00329",2026-04-19,10.716,1.105,15.723,28.179,11.194,16.985,18,4.467,0.305,2.158,1.554
"SYN00329",2026-04-26,9.409,1.454,14.35,29.138,10.532,18.605,18,4.152,0.944,1.259,0.946
"SYN00329",2026-05-03,10.486,0.967,13.448,28.547,12.636,15.911,18,7.397,1.67,1.492,2.2
"SYN00329",2026-05-10,10.727,0.789,14.717,28.484,11.625,16.859,19,6.673,0.015,0.428,0.518
"SYN00329",2026-05-17,12.567,0.765,15.964,26.668,14.355,12.312,16,5.855,1.708,1.783,0.252
"SYN00329",2026-05-24,12.939,1.621,17.815,25.44,12.009,13.431,12,9.18,0.126,2.262,0.844
"SYN00329",2026-05-31,13.405,0.762,17.105,25.833,8.694,17.139,15,4.74,2.186,0.583,1.095
"SYN00329",2026-06-07,11.363,0.943,14.864,27.694,11.669,16.025,17,4.771,1.016,1.24,0.819
"SYN00329",2026-06-14,10.341,1.189,15.229,28.47,12.861,15.609,18,7.084,0.626,0.81,1.287
"SYN00329",2026-06-21,10.54,1.025,13.903,28.435,10.589,17.846,16,4.344,1.342,1.959,0.509
"SYN00329",2026-06-28,11.579,1.37,16.414,27.051,13.022,14.029,15,6.681,0.286,1.575,1.328
"SYN00330",2026-01-04,10.421,0.786,14.411,28.793,8.882,19.911,14,5.109,1.874,0.327,5.628
"SYN00330",2026-01-11,10.694,1.448,15.363,27.858,8.111,19.747,19,6.172,1.804,1.095,3.786
"SYN00330",2026-01-18,9.226,0.77,14.304,30.003,12.146,17.858,16,5.037,0.365,1.519,6.211
"SYN00330",2026-01-25,9.747,1.27,14.204,28.983,8.729,20.254,17,6.11,1.163,1.538,5.643
"SYN00330",2026-02-01,7.538,1.501,13.291,30.962,9.299,21.662,18,5.084,0.13,1.689,5.191
"SYN00330",2026-02-08,11.461,2,17.706,26.539,11.63,14.909,16,6.092,1.414,0.864,4.991
"SYN00330",2026-02-15,11.723,0.96,16.064,27.317,9.753,17.564,14,8.336,0.746,1.992,4.714
"SYN00330",2026-02-22,8.588,0.576,13.66,30.836,11.714,19.122,20,3.249,0.405,0.258,4.515
"SYN00330",2026-03-01,9.958,1.106,14.231,28.936,8.103,20.833,15,6.782,0.24,0.461,5.11
"SYN00330",2026-03-08,10.677,1.331,15.406,27.992,9.379,18.612,16,6.336,1.635,1.821,5.16
"SYN00330",2026-03-15,9.593,0.809,12.953,29.598,8.47,21.128,15,5.17,0.441,0.345,5.051
"SYN00330",2026-03-22,11.731,1.286,17.845,26.983,7.682,19.302,14,5.036,0.663,1.623,3.429
"SYN00330",2026-03-29,9.423,1.342,13.483,29.235,8.338,20.897,15,6.676,1.466,0.676,5.088
"SYN00330",2026-04-05,8.858,1.655,14.115,29.487,13.866,15.621,20,6.236,0.754,1.615,5.179
"SYN00330",2026-04-12,7.136,1.113,10.895,31.751,14.829,16.922,18,3.35,0.111,0.529,4.41
"SYN00330",2026-04-19,8.001,1.323,13.888,30.676,13.981,16.696,17,3.858,1.031,0.4,4.655
"SYN00330",2026-04-26,7.35,1.412,12.553,31.238,11.328,19.909,17,4.611,0.4,0.417,5.612
"SYN00330",2026-05-03,7.302,1.975,13.412,30.723,12.75,17.974,15,3.95,0.746,1.195,5.947
"SYN00330",2026-05-10,8.009,0.632,11.946,31.359,11.705,19.654,16,4.118,0.433,0.921,5.422
"SYN00330",2026-05-17,8.009,0.583,11.744,31.408,11.741,19.667,15,5.248,0.3,1.783,4.085
"SYN00330",2026-05-24,6.877,1.88,11.794,31.243,7.862,23.38,14,4.425,0.415,1.225,4.49
"SYN00330",2026-05-31,5.78,0.949,12.367,33.271,11.34,21.931,18,2.025,0.227,0.54,5.961
"SYN00330",2026-06-07,8.715,1.542,14.952,29.743,12.54,17.203,17,3.173,1.142,1.357,5.231
"SYN00330",2026-06-14,9.637,0.566,13.269,29.797,12.556,17.241,17,7.061,0.506,0.343,5.072
"SYN00330",2026-06-21,8.583,1.545,13.655,29.873,11.829,18.044,20,4.024,0.598,0.564,5.083
"SYN00330",2026-06-28,6.72,1.1,13.085,32.18,12.211,19.968,16,2.96,1.026,0.985,2.941
"SYN00331",2026-01-04,7.583,1.777,14.517,30.64,10.828,19.812,21,2.902,2.059,2.632,5.439
"SYN00331",2026-01-11,5.173,1.743,11.532,33.084,13.549,19.535,19,3.55,1.149,0.973,5.766
"SYN00331",2026-01-18,5.289,1.837,11.036,32.873,11.233,21.64,14,3.041,1.105,0.903,5.498
"SYN00331",2026-01-25,5.402,2.163,12.002,32.435,17.723,14.712,14,2.212,1.291,0.937,6.213
"SYN00331",2026-02-01,7.214,1.005,13.509,31.781,13.325,18.455,16,4.673,1.88,1.747,5.875
"SYN00331",2026-02-08,5.024,1.337,11.28,33.638,16.141,17.497,20,3.53,0.686,0.821,5.317
"SYN00331",2026-02-15,4.523,1.142,10.215,34.335,13.532,20.803,16,2.085,1.077,1.22,5.167
"SYN00331",2026-02-22,8.115,2.028,15.218,29.857,12.605,17.252,17,3.785,1.904,2.544,5.218
"SYN00331",2026-03-01,7.417,1.794,16.515,30.789,14.32,16.469,17,5.533,1.858,1.349,6.781
"SYN00331",2026-03-08,4.479,1.886,10.555,33.635,13.812,19.823,18,2.346,0.994,1.089,5.74
"SYN00331",2026-03-15,7.004,1.761,12.259,31.235,17.182,14.053,18,4.108,1.185,1.566,5.92
